Reference,Verses,Words,Wd/Vs,Time (150 WPM),Time (200 WPM),Time (250 WPM)
Jonah 1,17,514,30.2,3m 25s,2m 34s,2m 3s
Jonah 2,10,214,21.4,1m 25s,1m 4s,0m 51s
Jonah 3,10,260,26.0,1m 44s,1m 18s,1m 2s
Jonah 4,11,332,30.2,2m 12s,1m 39s,1m 19s
Micah 1,16,452,28.2,3m 0s,2m 15s,1m 48s
Micah 2,13,400,30.8,2m 40s,2m 0s,1m 36s
Micah 3,12,354,29.5,2m 21s,1m 46s,1m 24s
Micah 4,13,476,36.6,3m 10s,2m 22s,1m 54s
Micah 5,15,447,29.8,2m 58s,2m 14s,1m 47s
Micah 6,16,440,27.5,2m 56s,2m 12s,1m 45s
Micah 7,20,583,29.2,3m 53s,2m 54s,2m 19s
Nahum 1,15,394,26.3,2m 37s,1m 58s,1m 34s
Nahum 2,13,371,28.5,2m 28s,1m 51s,1m 29s
Nahum 3,19,519,27.3,3m 27s,2m 35s,2m 4s
Habakkuk 1,17,423,24.9,2m 49s,2m 6s,1m 41s
Habakkuk 2,20,563,28.2,3m 45s,2m 48s,2m 15s
Habakkuk 3,19,489,25.7,3m 15s,2m 26s,1m 57s
Zephaniah 1,18,555,30.8,3m 42s,2m 46s,2m 13s
Zephaniah 2,15,463,30.9,3m 5s,2m 18s,1m 51s
Zephaniah 3,20,598,29.9,3m 59s,2m 59s,2m 23s
Haggai 1,15,451,30.1,3m 0s,2m 15s,1m 48s
Haggai 2,23,679,29.5,4m 31s,3m 23s,2m 42s
Zechariah 1,21,622,29.6,4m 8s,3m 6s,2m 29s
Zechariah 2,13,317,24.4,2m 6s,1m 35s,1m 16s
Zechariah 3,10,296,29.6,1m 58s,1m 28s,1m 11s
Zechariah 4,14,365,26.1,2m 26s,1m 49s,1m 27s
Zechariah 5,11,338,30.7,2m 15s,1m 41s,1m 21s
Zechariah 6,15,424,28.3,2m 49s,2m 7s,1m 41s
Zechariah 7,14,378,27.0,2m 31s,1m 53s,1m 30s
Zechariah 8,23,703,30.6,4m 41s,3m 30s,2m 48s
Zechariah 9,17,537,31.6,3m 34s,2m 41s,2m 8s
Zechariah 10,12,408,34.0,2m 43s,2m 2s,1m 37s
Zechariah 11,17,502,29.5,3m 20s,2m 30s,2m 0s
Zechariah 12,14,462,33.0,3m 4s,2m 18s,1m 50s
Zechariah 13,9,337,37.4,2m 14s,1m 41s,1m 20s
Zechariah 14,21,754,35.9,5m 1s,3m 46s,3m 0s
Malachi 1,14,487,34.8,3m 14s,2m 26s,1m 56s
Malachi 2,17,546,32.1,3m 38s,2m 43s,2m 11s
Malachi 3,18,565,31.4,3m 46s,2m 49s,2m 15s
Malachi 4,6,188,31.3,1m 15s,0m 56s,0m 45s
Matthew 1,25,473,18.9,3m 9s,2m 21s,1m 53s
Matthew 2,23,619,26.9,4m 7s,3m 5s,2m 28s
Matthew 3,17,387,22.8,2m 34s,1m 56s,1m 32s
Matthew 4,25,557,22.3,3m 42s,2m 47s,2m 13s
Matthew 5,48,1081,22.5,7m 12s,5m 24s,4m 19s
Matthew 6,34,794,23.4,5m 17s,3m 58s,3m 10s
Matthew 7,29,626,21.6,4m 10s,3m 7s,2m 30s
Matthew 8,34,773,22.7,5m 9s,3m 51s,3m 5s
Matthew 9,38,837,22.0,5m 34s,4m 11s,3m 20s
Matthew 10,42,919,21.9,6m 7s,4m 35s,3m 40s
Matthew 11,30,668,22.3,4m 27s,3m 20s,2m 40s
Matthew 12,50,1168,23.4,7m 47s,5m 50s,4m 40s
Matthew 13,58,1367,23.6,9m 6s,6m 50s,5m 28s
Matthew 14,36,721,20.0,4m 48s,3m 36s,2m 53s
Matthew 15,39,785,20.1,5m 14s,3m 55s,3m 8s
Matthew 16,28,688,24.6,4m 35s,3m 26s,2m 45s
Matthew 17,27,620,23.0,4m 8s,3m 6s,2m 28s
Matthew 18,35,869,24.8,5m 47s,4m 20s,3m 28s
Matthew 19,30,719,24.0,4m 47s,3m 35s,2m 52s
Matthew 20,34,779,22.9,5m 11s,3m 53s,3m 6s
Matthew 21,46,1126,24.5,7m 30s,5m 37s,4m 30s
Matthew 22,46,828,18.0,5m 31s,4m 8s,3m 18s
Matthew 23,39,833,21.4,5m 33s,4m 9s,3m 19s
Matthew 24,51,1047,20.5,6m 58s,5m 14s,4m 11s
Matthew 25,46,995,21.6,6m 38s,4m 58s,3m 58s
Matthew 26,75,1625,21.7,10m 50s,8m 7s,6m 30s
Matthew 27,66,1359,20.6,9m 3s,6m 47s,5m 26s
Matthew 28,20,421,21.0,2m 48s,2m 6s,1m 41s
Mark 1,45,930,20.7,6m 12s,4m 39s,3m 43s
Mark 2,28,724,25.9,4m 49s,3m 37s,2m 53s
Mark 3,35,663,18.9,4m 25s,3m 18s,2m 39s
Mark 4,41,923,22.5,6m 9s,4m 36s,3m 41s
Mark 5,43,952,22.1,6m 20s,4m 45s,3m 48s
Mark 6,56,1323,23.6,8m 49s,6m 36s,5m 17s
Mark 7,37,806,21.8,5m 22s,4m 1s,3m 13s
Mark 8,38,842,22.2,5m 36s,4m 12s,3m 22s
Mark 9,50,1164,23.3,7m 45s,5m 49s,4m 39s
Mark 10,52,1218,23.4,8m 7s,6m 5s,4m 52s
Mark 11,33,778,23.6,5m 11s,3m 53s,3m 6s
Mark 12,44,1058,24.0,7m 3s,5m 17s,4m 13s
Mark 13,37,828,22.4,5m 31s,4m 8s,3m 18s
Mark 14,72,1595,22.2,10m 38s,7m 58s,6m 22s
Mark 15,47,913,19.4,6m 5s,4m 33s,3m 39s
Mark 16,20,449,22.4,2m 59s,2m 14s,1m 47s
Luke 1,80,1583,19.8,10m 33s,7m 54s,6m 19s
Luke 2,52,1094,21.0,7m 17s,5m 28s,4m 22s
Luke 3,38,1017,26.8,6m 46s,5m 5s,4m 4s
Luke 4,44,1021,23.2,6m 48s,5m 6s,4m 5s
Luke 5,39,949,24.3,6m 19s,4m 44s,3m 47s
Luke 6,49,1229,25.1,8m 11s,6m 8s,4m 54s
Luke 7,50,1209,24.2,8m 3s,6m 2s,4m 50s
Luke 8,56,1431,25.6,9m 32s,7m 9s,5m 43s
Luke 9,62,1457,23.5,9m 42s,7m 17s,5m 49s
Luke 10,42,992,23.6,6m 36s,4m 57s,3m 58s
Luke 11,54,1331,24.6,8m 52s,6m 39s,5m 19s
Luke 12,59,1407,23.8,9m 22s,7m 2s,5m 37s
Luke 13,35,864,24.7,5m 45s,4m 19s,3m 27s
Luke 14,35,812,23.2,5m 24s,4m 3s,3m 14s
Luke 15,32,725,22.7,4m 50s,3m 37s,2m 54s
Luke 16,31,752,24.3,5m 0s,3m 45s,3m 0s
Luke 17,37,809,21.9,5m 23s,4m 2s,3m 14s
Luke 18,43,868,20.2,5m 47s,4m 20s,3m 28s
Luke 19,48,1047,21.8,6m 58s,5m 14s,4m 11s
Luke 20,47,954,20.3,6m 21s,4m 46s,3m 48s
Luke 21,38,820,21.6,5m 28s,4m 5s,3m 16s
Luke 22,71,1396,19.7,9m 18s,6m 58s,5m 35s
Luke 23,56,1117,19.9,7m 26s,5m 35s,4m 28s
Luke 24,53,1055,19.9,7m 2s,5m 16s,4m 13s
John 1,51,1004,19.7,6m 41s,5m 1s,4m 0s
John 2,25,510,20.4,3m 24s,2m 33s,2m 2s
John 3,36,763,21.2,5m 5s,3m 48s,3m 3s
John 4,54,1094,20.3,7m 17s,5m 28s,4m 22s
John 5,47,1001,21.3,6m 40s,5m 0s,4m 0s
John 6,71,1506,21.2,10m 2s,7m 31s,6m 1s
John 7,53,1002,18.9,6m 40s,5m 0s,4m 0s
John 8,59,1307,22.2,8m 42s,6m 32s,5m 13s
John 9,41,876,21.4,5m 50s,4m 22s,3m 30s
John 10,42,820,19.5,5m 28s,4m 5s,3m 16s
John 11,57,1157,20.3,7m 42s,5m 47s,4m 37s
John 12,50,1060,21.2,7m 4s,5m 18s,4m 14s
John 13,38,826,21.7,5m 30s,4m 7s,3m 18s
John 14,31,731,23.6,4m 52s,3m 39s,2m 55s
John 15,27,613,22.7,4m 5s,3m 3s,2m 27s
John 16,33,789,23.9,5m 15s,3m 56s,3m 9s
John 17,26,636,24.5,4m 14s,3m 10s,2m 32s
John 18,40,947,23.7,6m 18s,4m 44s,3m 47s
John 19,42,1010,24.0,6m 44s,5m 3s,4m 2s
John 20,31,749,24.2,4m 59s,3m 44s,2m 59s
John 21,25,693,27.7,4m 37s,3m 27s,2m 46s
Acts 1,26,661,25.4,4m 24s,3m 18s,2m 38s
Acts 2,47,1021,21.7,6m 48s,5m 6s,4m 5s
Acts 3,26,634,24.4,4m 13s,3m 10s,2m 32s
Acts 4,37,865,23.4,5m 46s,4m 19s,3m 27s
Acts 5,42,1026,24.4,6m 50s,5m 7s,4m 6s
Acts 6,15,355,23.7,2m 22s,1m 46s,1m 25s
Acts 7,60,1430,23.8,9m 32s,7m 9s,5m 43s
Acts 8,40,883,22.1,5m 53s,4m 24s,3m 31s
Acts 9,43,1046,24.3,6m 58s,5m 13s,4m 11s
Acts 10,48,1108,23.1,7m 23s,5m 32s,4m 25s
Acts 11,30,667,22.2,4m 26s,3m 20s,2m 40s
Acts 12,25,662,26.5,4m 24s,3m 18s,2m 38s
Acts 13,52,1272,24.5,8m 28s,6m 21s,5m 5s
Acts 14,28,627,22.4,4m 10s,3m 8s,2m 30s
Acts 15,41,925,22.6,6m 10s,4m 37s,3m 42s
Acts 16,40,943,23.6,6m 17s,4m 42s,3m 46s
Acts 17,34,855,25.1,5m 42s,4m 16s,3m 25s
Acts 18,28,664,23.7,4m 25s,3m 19s,2m 39s
Acts 19,41,975,23.8,6m 30s,4m 52s,3m 54s
Acts 20,38,882,23.2,5m 52s,4m 24s,3m 31s
Acts 21,40,1067,26.7,7m 6s,5m 20s,4m 16s
Acts 22,30,773,25.8,5m 9s,3m 51s,3m 5s
Acts 23,35,921,26.3,6m 8s,4m 36s,3m 41s
Acts 24,27,640,23.7,4m 16s,3m 12s,2m 33s
Acts 25,27,711,26.3,4m 44s,3m 33s,2m 50s
Acts 26,32,781,24.4,5m 12s,3m 54s,3m 7s
Acts 27,44,1033,23.5,6m 53s,5m 9s,4m 7s
Acts 28,31,818,26.4,5m 27s,4m 5s,3m 16s
Romans 1,32,714,22.3,4m 45s,3m 34s,2m 51s
Romans 2,29,604,20.8,4m 1s,3m 1s,2m 24s
Romans 3,31,562,18.1,3m 44s,2m 48s,2m 14s
Romans 4,25,546,21.8,3m 38s,2m 43s,2m 11s
Romans 5,21,480,22.9,3m 12s,2m 24s,1m 55s
Romans 6,23,484,21.0,3m 13s,2m 25s,1m 56s
Romans 7,25,605,24.2,4m 2s,3m 1s,2m 25s
Romans 8,39,903,23.2,6m 1s,4m 30s,3m 36s
Romans 9,33,719,21.8,4m 47s,3m 35s,2m 52s
Romans 10,21,461,22.0,3m 4s,2m 18s,1m 50s
Romans 11,36,818,22.7,5m 27s,4m 5s,3m 16s
Romans 12,21,397,18.9,2m 38s,1m 59s,1m 35s
Romans 13,14,361,25.8,2m 24s,1m 48s,1m 26s
Romans 14,23,525,22.8,3m 30s,2m 37s,2m 6s
Romans 15,33,742,22.5,4m 56s,3m 42s,2m 58s
Romans 16,27,517,19.1,3m 26s,2m 35s,2m 4s
1 Corinthians 1,31,649,20.9,4m 19s,3m 14s,2m 35s
1 Corinthians 2,16,373,23.3,2m 29s,1m 51s,1m 29s
1 Corinthians 3,23,459,20.0,3m 3s,2m 17s,1m 50s
1 Corinthians 4,21,509,24.2,3m 23s,2m 32s,2m 2s
1 Corinthians 5,13,321,24.7,2m 8s,1m 36s,1m 17s
1 Corinthians 6,20,465,23.2,3m 6s,2m 19s,1m 51s
1 Corinthians 7,40,959,24.0,6m 23s,4m 47s,3m 50s
1 Corinthians 8,13,309,23.8,2m 3s,1m 32s,1m 14s
1 Corinthians 9,27,671,24.9,4m 28s,3m 21s,2m 41s
1 Corinthians 10,33,667,20.2,4m 26s,3m 20s,2m 40s
1 Corinthians 11,34,718,21.1,4m 47s,3m 35s,2m 52s
1 Corinthians 12,31,593,19.1,3m 57s,2m 57s,2m 22s
1 Corinthians 13,13,270,20.8,1m 48s,1m 21s,1m 4s
1 Corinthians 14,40,887,22.2,5m 54s,4m 26s,3m 32s
1 Corinthians 15,58,1166,20.1,7m 46s,5m 49s,4m 39s
1 Corinthians 16,24,464,19.3,3m 5s,2m 19s,1m 51s
2 Corinthians 1,24,591,24.6,3m 56s,2m 57s,2m 21s
2 Corinthians 2,17,401,23.6,2m 40s,2m 0s,1m 36s
2 Corinthians 3,18,389,21.6,2m 35s,1m 56s,1m 33s
2 Corinthians 4,18,406,22.6,2m 42s,2m 1s,1m 37s
2 Corinthians 5,21,487,23.2,3m 14s,2m 26s,1m 56s
2 Corinthians 6,18,357,19.8,2m 22s,1m 47s,1m 25s
2 Corinthians 7,16,452,28.2,3m 0s,2m 15s,1m 48s
2 Corinthians 8,24,568,23.7,3m 47s,2m 50s,2m 16s
2 Corinthians 9,15,355,23.7,2m 22s,1m 46s,1m 25s
2 Corinthians 10,18,437,24.3,2m 54s,2m 11s,1m 44s
2 Corinthians 11,33,718,21.8,4m 47s,3m 35s,2m 52s
2 Corinthians 12,21,589,28.0,3m 55s,2m 56s,2m 21s
2 Corinthians 13,14,333,23.8,2m 13s,1m 39s,1m 19s
Galatians 1,24,453,18.9,3m 1s,2m 15s,1m 48s
Galatians 2,21,573,27.3,3m 49s,2m 51s,2m 17s
Galatians 3,29,648,22.3,4m 19s,3m 14s,2m 35s
Galatians 4,31,610,19.7,4m 4s,3m 3s,2m 26s
Galatians 5,26,447,17.2,2m 58s,2m 14s,1m 47s
Galatians 6,18,359,19.9,2m 23s,1m 47s,1m 26s
Ephesians 1,23,508,22.1,3m 23s,2m 32s,2m 1s
Ephesians 2,22,453,20.6,3m 1s,2m 15s,1m 48s
Ephesians 3,21,410,19.5,2m 44s,2m 2s,1m 38s
Ephesians 4,32,617,19.3,4m 6s,3m 5s,2m 28s
Ephesians 5,33,564,17.1,3m 45s,2m 49s,2m 15s
Ephesians 6,24,478,19.9,3m 11s,2m 23s,1m 54s
Philippians 1,30,632,21.1,4m 12s,3m 9s,2m 31s
Philippians 2,30,601,20.0,4m 0s,3m 0s,2m 24s
Philippians 3,21,483,23.0,3m 13s,2m 24s,1m 55s
Philippians 4,23,477,20.7,3m 10s,2m 23s,1m 54s
Colossians 1,29,656,22.6,4m 22s,3m 16s,2m 37s
Colossians 2,23,503,21.9,3m 21s,2m 30s,2m 0s
Colossians 3,25,457,18.3,3m 2s,2m 17s,1m 49s
Colossians 4,18,373,20.7,2m 29s,1m 51s,1m 29s
1 Thessalonians 1,10,253,25.3,1m 41s,1m 15s,1m 0s
1 Thessalonians 2,20,479,24.0,3m 11s,2m 23s,1m 54s
1 Thessalonians 3,13,295,22.7,1m 58s,1m 28s,1m 10s
1 Thessalonians 4,18,396,22.0,2m 38s,1m 58s,1m 35s
1 Thessalonians 5,28,424,15.1,2m 49s,2m 7s,1m 41s
2 Thessalonians 1,12,291,24.2,1m 56s,1m 27s,1m 9s
2 Thessalonians 2,17,381,22.4,2m 32s,1m 54s,1m 31s
2 Thessalonians 3,18,360,20.0,2m 24s,1m 48s,1m 26s
1 Timothy 1,20,432,21.6,2m 52s,2m 9s,1m 43s
1 Timothy 2,15,247,16.5,1m 38s,1m 14s,0m 59s
1 Timothy 3,16,324,20.2,2m 9s,1m 37s,1m 17s
1 Timothy 4,16,310,19.4,2m 4s,1m 33s,1m 14s
1 Timothy 5,25,470,18.8,3m 8s,2m 21s,1m 52s
1 Timothy 6,21,477,22.7,3m 10s,2m 23s,1m 54s
2 Timothy 1,18,438,24.3,2m 55s,2m 11s,1m 45s
2 Timothy 2,26,506,19.5,3m 22s,2m 31s,2m 1s
2 Timothy 3,17,297,17.5,1m 58s,1m 29s,1m 11s
2 Timothy 4,22,453,20.6,3m 1s,2m 15s,1m 48s
Titus 1,16,337,21.1,2m 14s,1m 41s,1m 20s
Titus 2,15,265,17.7,1m 46s,1m 19s,1m 3s
Titus 3,15,313,20.9,2m 5s,1m 33s,1m 15s
Philemon 1,25,439,17.6,2m 55s,2m 11s,1m 45s
Hebrews 1,14,338,24.1,2m 15s,1m 41s,1m 21s
Hebrews 2,18,472,26.2,3m 8s,2m 21s,1m 53s
Hebrews 3,19,362,19.1,2m 24s,1m 48s,1m 26s
Hebrews 4,16,404,25.2,2m 41s,2m 1s,1m 36s
Hebrews 5,14,321,22.9,2m 8s,1m 36s,1m 17s
Hebrews 6,20,425,21.2,2m 50s,2m 7s,1m 42s
Hebrews 7,28,607,21.7,4m 2s,3m 2s,2m 25s
Hebrews 8,13,387,29.8,2m 34s,1m 56s,1m 32s
Hebrews 9,28,678,24.2,4m 31s,3m 23s,2m 42s
Hebrews 10,39,784,20.1,5m 13s,3m 55s,3m 8s
Hebrews 11,40,922,23.0,6m 8s,4m 36s,3m 41s
Hebrews 12,29,696,24.0,4m 38s,3m 28s,2m 47s
Hebrews 13,25,509,20.4,3m 23s,2m 32s,2m 2s
James 1,27,544,20.1,3m 37s,2m 43s,2m 10s
James 2,26,528,20.3,3m 31s,2m 38s,2m 6s
James 3,18,378,21.0,2m 31s,1m 53s,1m 30s
James 4,17,369,21.7,2m 27s,1m 50s,1m 28s
James 5,20,485,24.2,3m 14s,2m 25s,1m 56s
1 Peter 1,25,597,23.9,3m 58s,2m 59s,2m 23s
1 Peter 2,25,549,22.0,3m 39s,2m 44s,2m 11s
1 Peter 3,22,551,25.0,3m 40s,2m 45s,2m 12s
1 Peter 4,19,479,25.2,3m 11s,2m 23s,1m 54s
1 Peter 5,14,300,21.4,2m 0s,1m 30s,1m 12s
2 Peter 1,21,488,23.2,3m 15s,2m 26s,1m 57s
2 Peter 2,22,581,26.4,3m 52s,2m 54s,2m 19s
2 Peter 3,18,484,26.9,3m 13s,2m 25s,1m 56s
1 John 1,10,247,24.7,1m 38s,1m 14s,0m 59s
1 John 2,29,736,25.4,4m 54s,3m 40s,2m 56s
1 John 3,24,534,22.2,3m 33s,2m 40s,2m 8s
1 John 4,21,480,22.9,3m 12s,2m 24s,1m 55s
1 John 5,21,520,24.8,3m 28s,2m 36s,2m 4s
2 John 1,13,298,22.9,1m 59s,1m 29s,1m 11s
3 John 1,14,294,21.0,1m 57s,1m 28s,1m 10s
Jude 1,25,608,24.3,4m 3s,3m 2s,2m 25s
Revelation 1,20,592,29.6,3m 56s,2m 57s,2m 22s
Revelation 2,29,802,27.7,5m 20s,4m 0s,3m 12s
Revelation 3,22,658,29.9,4m 23s,3m 17s,2m 37s
Revelation 4,11,348,31.6,2m 19s,1m 44s,1m 23s
Revelation 5,14,435,31.1,2m 54s,2m 10s,1m 44s
Revelation 6,17,540,31.8,3m 36s,2m 42s,2m 9s
Revelation 7,17,491,28.9,3m 16s,2m 27s,1m 57s
Revelation 8,13,397,30.5,2m 38s,1m 59s,1m 35s
Revelation 9,21,592,28.2,3m 56s,2m 57s,2m 22s
Revelation 10,11,353,32.1,2m 21s,1m 45s,1m 24s
Revelation 11,19,580,30.5,3m 52s,2m 54s,2m 19s
Revelation 12,17,497,29.2,3m 18s,2m 29s,1m 59s
Revelation 13,18,538,29.9,3m 35s,2m 41s,2m 9s
Revelation 14,20,651,32.6,4m 20s,3m 15s,2m 36s
Revelation 15,8,252,31.5,1m 40s,1m 15s,1m 0s
Revelation 16,21,567,27.0,3m 46s,2m 50s,2m 16s
Revelation 17,18,522,29.0,3m 28s,2m 36s,2m 5s
Revelation 18,24,747,31.1,4m 58s,3m 44s,2m 59s
Revelation 19,21,634,30.2,4m 13s,3m 10s,2m 32s
Revelation 20,15,477,31.8,3m 10s,2m 23s,1m 54s
Revelation 21,27,749,27.7,4m 59s,3m 44s,2m 59s
Revelation 22,21,575,27.4,3m 50s,2m 52s,2m 18s
